stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
mxc_C15_STP_17,Carretera el Salto,20.512050,-103.236860,,,,,,,,,,
mxc_C15_STP_178,Avenida Hidalgo,20.513030,-103.236480,,,,,,,,,,
mxc_C15_STP_179,Avenida Hidalgo,20.514860,-103.235980,,,,,,,,,,
mxc_C15_STP_180,Infonavit Condor,20.515000,-103.234780,,,,,,,,,,
mxc_C15_STP_181,Condominio Pinon,20.515060,-103.233420,,,,,,,,,,
mxc_C15_STP_182,Condominio Anis,20.514870,-103.231800,,,,,,,,,,
mxc_C15_STP_183,Condominio Acacia,20.514650,-103.231110,,,,,,,,,,
mxc_C15_STP_184,Calle Cerezos,20.515900,-103.229880,,,,,,,,,,
mxc_C15_STP_185,Avenida Campo Bello,20.517330,-103.230200,,,,,,,,,,
mxc_C15_STP_186,Avenida Campo Bello,20.518750,-103.229740,,,,,,,,,,
mxc_C15_STP_187,Infonavit Condor,20.520720,-103.229490,,,,,,,,,,
mxc_C15_STP_188,Calle Jilguero,20.520790,-103.228290,,,,,,,,,,
mxc_C15_STP_189,Calle Halcón,20.520740,-103.227060,,,,,,,,,,
mxc_C15_STP_190,Avenida Cima Serena,20.520700,-103.225870,,,,,,,,,,
mxc_C15_STP_191,Avenida Cima Serena Tramo 4,20.520910,-103.224820,,,,,,,,,,
mxc_C15_STP_34,Calle Emiliano Zapata,20.574950,-103.326100,,,,,,,,,,
mxc_C15_STP_58,Avenida de la Música,20.614560,-103.350910,,,,,,,,,,
mxc_C15_STP_61,José Luis Arregui,20.617930,-103.351210,,,,,,,,,,
mxc_C15_STP_62,Calle Luis Covarrubias,20.619140,-103.352670,,,,,,,,,,
mxc_C15_STP_63,Avenida Patria,20.620580,-103.355990,,,,,,,,,,
mxc_C15_STP_65,Avenida Patria,20.621270,-103.359650,,,,,,,,,,
mxc_C15_STP_66,Avenida Patria,20.621870,-103.362790,,,,,,,,,,
mxc_C15_STP_73,Calle 22,20.635740,-103.357250,,,,,,,,,,
mxc_C15_STP_74,Calle 22,20.638440,-103.356120,,,,,,,,,,
mxc_C15_STP_75,Calle 3,20.639660,-103.358180,,,,,,,,,,
mxc_C15_STP_76,Calle 3,20.640660,-103.360880,,,,,,,,,,
mxc_C15_STP_77,Calle 3,20.641470,-103.362990,,,,,,,,,,
mxc_C15_STP_78,Avenida 8 de Julio,20.644110,-103.362460,,,,,,,,,,
mxc_C15_STP_80,Rutas 50,20.648460,-103.360590,,,,,,,,,,
mxc_C15_STP_84,Avenida España,20.660060,-103.355610,,,,,,,,,,
mxc_C15_STP_98,Avenida 16 de Septiembre,20.659230,-103.351210,,,,,,,,,,
mxc_C16_STP_03,Francisco Sarabia,20.689400,-103.299470,,,,,,,,,,
mxc_C16_STP_05,Avenida Joaquín Amaro,20.688270,-103.293830,,,,,,,,,,
mxc_C16_STP_101,Calle Batallón de San Patricio,20.711910,-103.306570,,,,,,,,,,
mxc_C16_STP_104,Josefa Juárez García,20.710510,-103.301560,,,,,,,,,,
mxc_C16_STP_105,Bonifacio Topete,20.709190,-103.300440,,,,,,,,,,
mxc_C16_STP_108,Manuel Álvarez R.,20.707440,-103.297130,,,,,,,,,,
mxc_C16_STP_111,Avenida Joaquín Amaro,20.706550,-103.293920,,,,,,,,,,
mxc_C16_STP_114,Avenida Joaquín Amaro,20.703880,-103.292720,,,,,,,,,,
mxc_C16_STP_118,Hacienda del Centro,20.698620,-103.290420,,,,,,,,,,
mxc_C16_STP_120,Calle Hacienda Santiago,20.694690,-103.291700,,,,,,,,,,
mxc_C16_STP_126,Calle Hacienda El Platanar,20.691420,-103.300840,,,,,,,,,,
mxc_C16_STP_16,Luis Arcaraz,20.708310,-103.292970,,,,,,,,,,
mxc_C16_STP_17,Pepe Guízar,20.711390,-103.293620,,,,,,,,,,
mxc_C16_STP_19,Higinio Ruvalcaba,20.711320,-103.296600,,,,,,,,,,
mxc_C16_STP_20,Higinio Ruvalcaba,20.711180,-103.297410,,,,,,,,,,
mxc_C16_STP_21,Manuel Álvarez R.,20.708810,-103.297350,,,,,,,,,,
mxc_C16_STP_22,Manuel Álvarez R.,20.707570,-103.297120,,,,,,,,,,
mxc_C16_STP_23,Calle Abundancia,20.706840,-103.297060,,,,,,,,,,
mxc_C16_STP_25,Antonio Salanueva,20.708510,-103.300300,,,,,,,,,,
mxc_C16_STP_28,Periferico Oriente,20.713100,-103.302840,,,,,,,,,,
mxc_C16_STP_32,Batallón de San Blas,20.713910,-103.309860,,,,,,,,,,
mxc_C16_STP_33,Calle Batallón de San Patricio,20.714260,-103.311850,,,,,,,,,,
mxc_C16_STP_36,Calle Justicia,20.711310,-103.316030,,,,,,,,,,
mxc_C16_STP_41,San Patricio,20.715530,-103.320230,,,,,,,,,,
mxc_C16_STP_42,Erato,20.713630,-103.323070,,,,,,,,,,
mxc_C16_STP_43,Melpómene,20.713650,-103.324940,,,,,,,,,,
mxc_C16_STP_51,Sierra Leona,20.698880,-103.333250,,,,,,,,,,
mxc_C16_STP_57,La Normal (CETRAM),20.693450,-103.348500,,,,,,,,,,
mxc_C16_STP_61,Sta. Mónica,20.682040,-103.349270,,,,,,,,,,
mxc_C16_STP_68,Calle Belén,20.687190,-103.345580,,,,,,,,,,
mxc_C16_STP_72,La Normal (CETRAM),20.692510,-103.348240,,,,,,,,,,
mxc_C16_STP_77,Avenida de los Maestros,20.695440,-103.335300,,,,,,,,,,
mxc_C16_STP_82,Sierra Leona,20.706340,-103.329090,,,,,,,,,,
mxc_C16_STP_84,Calle Sierra De Comanja,20.709120,-103.330360,,,,,,,,,,
mxc_C16_STP_87,Calle Legalidad,20.713650,-103.329910,,,,,,,,,,
mxc_C16_STP_88,Calle Legalidad,20.713660,-103.328270,,,,,,,,,,
mxc_C16_STP_89,Calle Legalidad,20.713580,-103.326570,,,,,,,,,,
mxc_C16_STP_90,Calle Legalidad,20.713540,-103.324310,,,,,,,,,,
mxc_C16_STP_91,Calzada Independencia Norte,20.713050,-103.321820,,,,,,,,,,
mxc_C16_STP_92,Calzada Independencia Norte,20.714880,-103.320190,,,,,,,,,,
mxc_C16_STP_95,Montes Urales,20.713430,-103.316470,,,,,,,,,,
mxc_C16_STP_98,Calle Montañas Rocallosas,20.714110,-103.312240,,,,,,,,,,
mxc_C16_STP_99,Santiago Xicoténcatl,20.713820,-103.310330,,,,,,,,,,
mxc_C17_STP_08,Andrés Renteria,20.643520,-103.275660,,,,,,,,,,
mxc_C17_STP_104,Calle Isla Filipinas,20.643010,-103.386710,,,,,,,,,,
mxc_C17_STP_105,Avenida Cruz del Sur,20.645230,-103.382820,,,,,,,,,,
mxc_C17_STP_11,Calle Loreto Méndez,20.648530,-103.275030,,,,,,,,,,
mxc_C17_STP_111,Plátano,20.658540,-103.379360,,,,,,,,,,
mxc_C17_STP_112,Eucalipto,20.658280,-103.378490,,,,,,,,,,
mxc_C17_STP_113,Eucalipto,20.657590,-103.376660,,,,,,,,,,
mxc_C17_STP_114,Eucalipto,20.657220,-103.375690,,,,,,,,,,
mxc_C17_STP_115,Eucalipto,20.656490,-103.373740,,,,,,,,,,
mxc_C17_STP_116,Calle Roble,20.655090,-103.369970,,,,,,,,,,
mxc_C17_STP_117,Calle Fresno,20.656780,-103.369000,,,,,,,,,,
mxc_C17_STP_119,Avenida Alemania,20.664060,-103.359730,,,,,,,,,,
mxc_C17_STP_120,Av. Enrique Diaz de Leon Sur,20.666510,-103.359410,,,,,,,,,,
mxc_C17_STP_121,Calle José Guadalupe Montenegro,20.669040,-103.359270,,,,,,,,,,
mxc_C17_STP_13,Victoria Navarro,20.651260,-103.275990,,,,,,,,,,
mxc_C17_STP_14,Calle Adrián Puga,20.652660,-103.276500,,,,,,,,,,
mxc_C17_STP_149,Calle Federico Medrano,20.653810,-103.296840,,,,,,,,,,
mxc_C17_STP_154,Calle Federico Medrano,20.652230,-103.289970,,,,,,,,,,
mxc_C17_STP_157,Calle Federico Medrano,20.651580,-103.285300,,,,,,,,,,
mxc_C17_STP_158,Calle Federico Medrano,20.651310,-103.283270,,,,,,,,,,
mxc_C17_STP_159,Calle Federico Medrano,20.651020,-103.281180,,,,,,,,,,
mxc_C17_STP_162,Victoria Navarro,20.648870,-103.276490,,,,,,,,,,
mxc_C17_STP_163,Calle Loreto Méndez,20.648160,-103.273990,,,,,,,,,,
mxc_C17_STP_164,Calle Josefina Rojas,20.646420,-103.274000,,,,,,,,,,
mxc_C17_STP_167,Avenida Santa Rosalía,20.635370,-103.275820,,,,,,,,,,
mxc_C17_STP_168,Calle Manzano Sur,20.628270,-103.272300,,,,,,,,,,
mxc_C17_STP_169,Calle Mares,20.626870,-103.274240,,,,,,,,,,
mxc_C17_STP_170,Cráteres,20.627750,-103.277720,,,,,,,,,,
mxc_C17_STP_22,Calle Adrián Puga,20.654690,-103.290560,,,,,,,,,,
