stop_name,stop_id,stop_lat,stop_lon
Calle Javier Mina,MM_A20_84,20.53133,-103.36631
Calle Javier Mina,MM_A20_85,20.53051,-103.36512
Calle Javier Mina,MM_A20_86,20.53028,-103.36368
Calle Jazmín,MM_A06_21,20.59839,-103.34257
Calle Jazmín,MM_A06_46,20.59859,-103.34272
Calle Jesus Amavisca,MM_A16_24,20.72533,-103.32412
Calle Jesus Amavisca,MM_A16_25,20.72421,-103.32401
Calle Jesus Amavisca,MM_A16_26,20.72356,-103.32391
Calle Jesús García,MM_C21_69,20.68918,-103.34686
Calle Joaquin Mucel,MM_A16_23,20.72691,-103.32437
Calle Joaquin Mucel,MM_A16_36,20.72723,-103.32038
Calle Joaquin Mucel,MM_A16_37,20.72727,-103.32208
Calle Joaquin Mucel,MM_A16_38,20.72703,-103.32412
Calle Joaquin Mucel,MM_A16_39,20.727,-103.32472
Calle Joaquin Mucel,MM_A16_40,20.72685,-103.32645
Calle Joaquin Mucel,MM_A16_41,20.72677,-103.32718
Calle Joaquin Romero,MM_A05_19,20.72163,-103.30603
Calle Joaquin Romero,MM_A05_20,20.72074,-103.3017
Calle Joaquin Romero,MM_A05_21,20.72046,-103.30064
Calle Joaquin Romero,MM_A05_22,20.7202,-103.29971
Calle Joaquin Romero,MM_A05_23,20.71994,-103.29758
Calle Joaquin Romero,MM_A05_4,20.71999,-103.29725
Calle Joaquin Romero,MM_A05_5,20.72025,-103.29943
Calle Joaquin Romero,MM_A05_6,20.72047,-103.30042
Calle Joaquin Romero,MM_A05_7,20.72078,-103.30145
Calle Joaquin Romero,MM_A05_8,20.72168,-103.3058
Calle Jose Mariano Abasolo,MM_C63_65,20.60994,-103.27563
Calle José Alcala,MM_A13_37,20.62548,-103.36186
Calle José Cornejo Franco,MM_A13_44,20.61731,-103.36017
Calle José Cornejo Franco,MM_A13_5,20.61753,-103.36315
Calle José Escobar,MM_A13_3,20.61651,-103.36229
Calle José Luis Verdía,MM_C31_77,20.66117,-103.3391
Calle José María Canal,MM_A16_22,20.72687,-103.32529
Calle Juan Carrasco,MM_A16_49,20.73262,-103.32212
Calle Juan Diego,MM_A17_41,20.59691,-103.35086
Calle Juan Jose Segura,MM_A07_27,20.61039,-103.34906
Calle Juan de la Barrera,MM_A09_23,20.58936,-103.33288
Calle Juan de la Barrera,MM_A09_24,20.59202,-103.33331
Calle Juan de la Barrera,MM_A09_25,20.59321,-103.33349
Calle Juan de la Barrera,MM_A09_28,20.59763,-103.3342
Calle Juan de la Barrera,MM_A09_33,20.6054,-103.33725
Calle Juan de la Barrera,MM_A09_35,20.60691,-103.33814
Calle Juan de la Barrera,MM_A09_36,20.60815,-103.33892
Calle Juan de la Barrera,MM_A09_52,20.60696,-103.33836
Calle Juan de la Barrera,MM_A09_53,20.60631,-103.33783
Calle Juan de la Barrera,MM_A09_54,20.60544,-103.33738
Calle Juan de la Barrera,MM_A09_55,20.60477,-103.33716
Calle Juan de la Barrera,MM_A09_59,20.59763,-103.33436
Calle Juan de la Barrera,MM_A09_62,20.59382,-103.33377
Calle Juan de la Barrera,MM_A09_63,20.5919,-103.33346
Calle La Paz,MM_A08_21,20.57268,-103.35566
Calle Loma Verde,MM_A15_34,20.58798,-103.35168
Calle Luis Covarrubias,MM_A13_41,20.62031,-103.36291
Calle Luis Covarrubias,MM_A13_42,20.61859,-103.35914
Calle Luis J. Jiménez,MM_A13_4,20.61678,-103.36327
Calle López Cotilla,MM_C127V1_17,20.54715,-103.47121
Calle Mariano Olivares,MM_A16_14,20.73219,-103.32527
Calle Mariano Olivares,MM_A16_47,20.73211,-103.3255
Calle Martin Corona,MM_A10_16,20.60111,-103.32916
Calle Martin Corona,MM_A10_17,20.60191,-103.32933
Calle Martínez,MM_A09_15,20.57539,-103.32711
Calle María Ciudadano Bancalari,MM_A13_10,20.62189,-103.36308
Calle María Ciudadano Bancalari,MM_A13_11,20.62286,-103.36272
Calle María Ciudadano Bancalari,MM_A13_12,20.62431,-103.36212
